Station,District,BuiltDate
1392,성북구,2020-03-27
1393,성북구,2020-05-05
1394,성북구,2020-03-27
1395,성북구,2020-03-25
1396,성북구,2020-03-25
1501,강북구,2017-08-03
1503,강북구,2017-05-11
1504,강북구,2017-05-11
1506,강북구,2017-05-11
1509,강북구,2017-06-22
1510,강북구,2017-06-22
1511,강북구,2017-06-22
1512,강북구,2017-06-22
1513,강북구,2017-06-22
1514,강북구,2017-05-11
1515,강북구,2017-05-11
1516,강북구,2017-05-11
1518,강북구,2017-05-11
1519,강북구,2017-05-11
1520,강북구,2021-01-25
1522,강북구,2017-06-22
1525,강북구,2017-05-11
1526,강북구,2017-11-01
1527,강북구,2017-11-01
1528,강북구,2017-11-01
1529,강북구,2017-11-01
1530,강북구,2017-11-01
1531,강북구,2017-11-01
1532,강북구,2017-11-01
1533,강북구,2017-11-01
1534,강북구,2017-11-01
1535,강북구,2017-11-01
1536,강북구,2017-11-01
1537,강북구,2018-02-26
1538,강북구,2018-02-26
1539,강북구,2018-02-26
1540,강북구,2018-02-26
1541,강북구,2018-02-26
1542,강북구,2018-02-26
1543,강북구,2018-02-26
1545,강북구,2018-07-27
1546,강북구,2018-10-25
1547,강북구,2018-12-14
1548,강북구,2018-12-14
1550,강북구,2020-07-21
1551,강북구,2020-03-25
1552,강북구,2020-03-25
1553,강북구,2020-03-26
1554,강북구,2020-03-25
1557,강북구,2020-03-27
1558,강북구,2020-03-26
1560,강북구,2020-03-27
1564,강북구,2020-03-25
1565,강북구,2020-03-25
1568,강북구,2020-03-25
1569,강북구,2020-03-28
1571,강북구,2020-05-08
1572,강북구,2020-05-08
1573,강북구,2020-05-05
1574,강북구,2020-05-05
3703,강북구,2020-11-04
3707,강북구,2020-11-04
3711,강북구,2020-11-04
3714,강북구,2020-11-04
1702,도봉구,2017-05-08
1703,도봉구,2017-05-11
1705,도봉구,2017-05-08
1706,도봉구,2017-06-27
1707,도봉구,2017-05-08
1708,도봉구,2017-05-11
1709,도봉구,2017-05-08
1713,도봉구,2020-08-14
1714,도봉구,2017-11-01
1715,도봉구,2017-11-01
1716,도봉구,2017-11-01
1717,도봉구,2017-11-01
1719,도봉구,2017-11-01
1720,도봉구,2017-11-01
1721,도봉구,2017-11-01
1722,도봉구,2017-11-28
1723,도봉구,2017-11-28
1725,도봉구,2017-11-28
1726,도봉구,2017-11-28
1727,도봉구,2017-11-28
1728,도봉구,2018-07-02
1729,도봉구,2018-10-27
1730,도봉구,2018-10-27
1731,도봉구,2018-11-02
1732,도봉구,2018-10-27
1733,도봉구,2018-10-27
1734,도봉구,2018-10-27
1735,도봉구,2018-10-27
1736,도봉구,2018-10-27
1737,도봉구,2018-10-27
1738,도봉구,2018-12-14
1741,도봉구,2018-10-27
1742,도봉구,2018-12-14
1743,도봉구,2020-03-17
1744,도봉구,2020-03-21
1746,도봉구,2020-03-21
1748,도봉구,2020-03-21
1749,도봉구,2020-03-21
1750,도봉구,2020-03-23
1751,도봉구,2020-03-23
1752,도봉구,2020-03-17
1754,도봉구,2020-03-17
1756,도봉구,2020-03-17
1757,도봉구,2020-03-25
1758,도봉구,2020-03-25
1759,도봉구,2020-03-18
1761,도봉구,2020-03-21
1762,도봉구,2020-03-18
1765,도봉구,2020-03-18
1767,도봉구,2020-03-21
1768,도봉구,2020-03-21
1770,도봉구,2020-07-30
1771,도봉구,2020-03-18
1772,도봉구,2020-03-23
1774,도봉구,2020-03-17
1775,도봉구,2020-03-17
4076,도봉구,2020-12-23
1601,노원구,2017-05-08
1602,노원구,2017-06-27
1605,노원구,2017-06-22
1606,노원구,2017-05-08
1608,노원구,2017-05-26
1610,노원구,2017-05-08
1611,노원구,2017-05-08
1616,노원구,2017-05-08
1617,노원구,2017-05-08
1619,노원구,2017-05-26
1620,노원구,2017-06-22
1625,노원구,2017-06-27
1627,노원구,2020-12-31
1628,노원구,2017-06-22
1630,노원구,2020-09-02
1634,노원구,2017-05-08
1635,노원구,2017-05-08
1636,노원구,2017-05-08
1637,노원구,2017-05-08
1639,노원구,2017-05-08
1640,노원구,2017-08-31
1641,노원구,2017-08-30
1642,노원구,2017-08-23
1643,노원구,2017-11-01
1646,노원구,2017-11-01
1650,노원구,2017-11-01
1651,노원구,2017-11-01
1652,노원구,2017-11-01
1653,노원구,2017-11-01
1654,노원구,2017-11-01
1655,노원구,2017-11-01
1656,노원구,2017-11-01
1657,노원구,2017-11-01
1659,노원구,2017-11-01
1660,노원구,2017-11-01
1661,노원구,2017-11-28
1662,노원구,2017-11-28
1663,노원구,2017-11-28
